Player,Team,Initial 16 Star PB,Final 16 Star PB,Initial 70 Star PB,Final 70 Star PB,Initial 120 Star PB,Final 120 Star PB,Points
fleetingazure,chipgroove,00:17:44,00:17:44,00:52:17,00:51:27,02:16:03,02:16:03,658
rubiksmeth,rubiksmeth,00:19:26,00:18:36,00:59:05,00:59:05,02:30:00,02:30:00,634
bloodbraid__elf,fcbdaboss,00:18:32,00:18:32,01:10:00,01:05:35,02:30:00,02:30:00,530
dekudude,benji64,00:15:52,00:15:52,00:48:40,00:48:28,01:43:41,01:43:41,528
gchierico91,mrspeedrun,00:19:18,00:18:57,00:59:21,00:58:21,02:15:19,02:15:19,516
ikori_o,drogie,00:15:18,00:15:18,00:47:55,00:47:48,01:39:08,01:39:08,497
alaris,alaris,00:16:53,00:16:39,00:50:59,00:50:59,01:48:00,01:48:00,490
mrspeedrun,mrspeedrun,00:20:00,00:20:00,00:53:40,00:52:56,01:46:47,01:46:47,484
volantis,felix_helix_tm,00:18:26,00:18:26,00:59:14,00:59:14,02:27:09,02:19:25,464
xein64,drogie,00:15:33,00:15:33,00:49:14,00:48:57,01:44:08,01:44:08,459
mrcornholio34,pex,00:17:48,00:17:34,01:02:20,01:01:35,02:30:00,02:30:00,434
insertpi,felix_helix_tm,00:19:43,00:19:00,01:10:00,01:10:00,02:30:00,02:30:00,434
fr3akzii,horrordoesspeedruns,00:18:49,00:18:37,00:59:52,00:58:53,02:30:00,02:30:00,404
kyman,xoofey,00:15:57,00:15:57,00:48:39,00:48:39,01:42:35,01:42:14,401
camgibb,sennai,,00:18:22,,00:55:45,,02:30:00,378
ayeessbee,ayeessbee,00:18:55,00:18:55,01:01:29,00:59:59,02:30:00,02:30:00,360
frost_byte,horrordoesspeedruns,00:16:00,00:16:00,00:49:50,00:49:45,01:48:12,01:47:46,343
twist17,raccoonbilly,00:19:42,00:19:42,01:06:15,01:03:35,02:30:00,02:30:00,320
conmangamer22,bootycheekman,00:17:43,00:17:30,00:53:41,00:53:41,02:26:39,02:26:39,273
mulp64,ayeessbee,00:18:29,00:18:11,01:03:12,01:03:12,02:30:00,02:30:00,252
rrufflz,chipgroove,00:17:00,00:17:00,00:54:56,00:54:20,02:30:00,02:30:00,252
frenchiestfry2,808sandbailey,00:20:00,00:19:30,01:10:00,01:10:00,02:30:00,02:30:00,240
