Date Accepted,Player,Team,Category,Time,Points
2021-10-09,pasta_toots,thomkar,70,01:07:24,312
2021-10-09,jaybeanz,badroenis,120,02:19:51,609
2021-10-10,jaybeanz,badroenis,120,02:16:13,218
2021-10-10,fizz,808sandbailey,16,00:16:57,882
2021-10-10,cheesyleech,raccoonbilly,120,01:48:56,442
2021-10-10,dekudude,benji64,70,00:48:36,176
2021-10-10,siera64,alaris,70,01:00:49,1244
2021-10-10,tag609,pex,70,00:51:47,1441
2021-10-10,jumbojolt,pex,16,00:16:52,140
2021-10-10,doubledeuce,ayeessbee,70,01:01:06,44
2021-10-10,reallybadforyou,felix_helix_tm,70,00:54:25,294
2021-10-11,camgibb,sennai,16,00:18:22,378
2021-10-11,madware,alaris,120,02:10:30,243
2021-10-11,doubledeuce,ayeessbee,70,01:00:41,100
2021-10-11,pignickel,808sandbailey,70,01:04:10,146
2021-10-11,heyzeus,fcbdaboss,70,00:52:37,770
2021-10-11,ayeessbee,ayeessbee,70,01:01:01,112
2021-10-11,doubledeuce,ayeessbee,70,01:00:14,108
2021-10-11,joshua_iz_drunk,xoofey,70,00:51:53,1001
2021-10-11,widdit,widdit,16,00:16:51,210
2021-10-11,mrkerij,horrordoesspeedruns,120,02:06:05,379
2021-10-11,ayeessbee,ayeessbee,70,01:00:39,88
2021-10-11,raccoonbilly,raccoonbilly,120,01:58:00,348
2021-10-11,doubledeuce,ayeessbee,70,00:59:46,112
2021-10-11,2003041,raccoonbilly,70,01:05:00,306
2021-10-11,amahumahaba,mrspeedrun,120,02:07:55,457
2021-10-11,cartersoft,thomkar,16,00:17:46,210
2021-10-11,waterproofteabag_,ringo792,16,00:17:17,399
2021-10-12,tracers_husband,bluehavengaming,16,00:16:24,336
2021-10-12,naraknight,808sandbailey,70,00:57:38,52
2021-10-12,noteka,drogie,16,00:16:51,525
2021-10-12,falconxfalcon,alaris,70,00:50:22,663
2021-10-12,itoxicnuk,fcbdaboss,16,00:18:52,224
2021-10-13,waterproofteabag_,ringo792,70,00:50:02,544
2021-10-13,seven_,808sandbailey,16,00:16:20,840
2021-10-13,thatdrunkendwarf,bluehavengaming,16,00:16:27,833
2021-10-13,saksdal,tabascoth,70,00:49:05,756
2021-10-13,gothiclogic,widdit,16,00:15:54,1666
2021-10-13,markinator99,horrordoesspeedruns,70,00:50:56,374
2021-10-13,insertpi,felix_helix_tm,16,00:19:00,14
2021-10-13,conner,felix_helix_tm,70,00:50:30,527
2021-10-13,naraknight,808sandbailey,70,00:57:23,60
2021-10-13,fr3akzii,horrordoesspeedruns,70,00:58:53,236
2021-10-13,chubby,benji64,16,00:15:55,511
2021-10-13,lucinovic,badroenis,16,00:17:10,882
2021-10-13,flikkaaa,felix_helix_tm,16,00:19:44,88
2021-10-14,naraknight,808sandbailey,70,00:56:13,421
2021-10-14,gchierico91,mrspeedrun,16,00:18:57,276
2021-10-14,lxqzach,rubiksmeth,16,00:15:46,1092
2021-10-15,naraknight,808sandbailey,16,00:19:13,244
2021-10-15,riandicielo,xoofey,120,01:48:38,306
2021-10-15,seiozi,tabascoth,70,00:54:34,315
2021-10-15,nicv,chipgroove,70,00:50:45,714
2021-10-16,naraknight,808sandbailey,16,00:19:05,112
2021-10-16,gunblade2337,alaris,70,00:57:22,264
2021-10-16,cheesyleech,raccoonbilly,16,00:16:46,315
2021-10-16,rubiksmeth,rubiksmeth,16,00:19:04,242
2021-10-16,toilet64_,drogie,16,00:17:10,210
2021-10-16,gchierico91,mrspeedrun,70,00:58:21,240
2021-10-16,geenix,mrspeedrun,120,01:52:18,687
2021-10-16,dentoriousred,raccoonbilly,70,00:58:50,92
2021-10-16,conner,felix_helix_tm,120,01:56:41,165
2021-10-16,madware,alaris,120,02:06:00,450
2021-10-16,nickless,badroenis,120,01:48:19,343
2021-10-17,nicov2k,bootycheekman,16,00:17:23,252
2021-10-17,nicov2k,bootycheekman,16,00:17:19,84
2021-10-17,bluehavengaming,bluehavengaming,70,01:09:42,36
2021-10-17,frost_byte,horrordoesspeedruns,120,01:47:46,208
2021-10-17,sebaa54,widdit,120,01:55:01,231
2021-10-17,ayeessbee,ayeessbee,70,01:00:31,32
2021-10-17,ayeessbee,ayeessbee,70,01:00:18,52
2021-10-18,geogringo,drogie,120,02:10:34,1166
2021-10-18,thatdrunkendwarf,bluehavengaming,70,00:49:27,783
2021-10-18,jane_dair,thomkar,70,00:49:19,1192
2021-10-18,bluehavengaming,bluehavengaming,70,01:05:18,528
2021-10-18,naraknight,808sandbailey,16,00:18:41,336
2021-10-18,leysauce,bluehavengaming,120,01:46:56,408
2021-10-18,lucinovic,badroenis,70,00:52:15,22
2021-10-19,falconxfalcon,alaris,70,00:49:25,1319
2021-10-19,thags15,fcbdaboss,120,01:49:11,590
2021-10-19,2003041,raccoonbilly,70,01:01:28,488
2021-10-19,jane_dair,thomkar,70,00:49:14,135
2021-10-19,nickless,badroenis,120,01:47:19,480
2021-10-19,waterproofteabag_,ringo792,70,00:49:59,61
2021-10-19,waterproofteabag_,ringo792,16,00:17:14,63
2021-10-19,sebaa54,widdit,120,01:53:02,473
2021-10-20,gunblade2337,alaris,120,02:10:27,36
2021-10-20,curryinthehouse,ringo792,70,00:58:43,236
2021-10-20,tracers_husband,bluehavengaming,16,00:16:23,56
2021-10-20,raccoonbilly,raccoonbilly,120,01:57:04,168
2021-10-20,bloodbraid__elf,fcbdaboss,70,01:05:35,530
2021-10-20,riandicielo,xoofey,120,01:47:42,448
2021-10-21,tracers_husband,bluehavengaming,16,00:16:05,1008
2021-10-21,falconxfalcon,alaris,16,00:15:52,1736
2021-10-21,dentoriousred,raccoonbilly,70,00:58:21,116
2021-10-21,classichanky,xoofey,16,00:16:44,35
2021-10-21,kally,tabascoth,120,01:42:26,84
2021-10-21,thomkar,thomkar,120,01:54:51,417
2021-10-21,mrspeedrun,mrspeedrun,70,00:52:56,484
2021-10-22,saksdal,tabascoth,70,00:48:58,189
2021-10-22,zeussm64,rubiksmeth,16,00:16:08,1064
2021-10-22,madware,alaris,70,00:54:01,1022
