Date Accepted,Player,Team,Category,Time,Points
2022-03-17,mrduck320,frostyseason,1,03:00:03,500
2022-03-17,carrickdan,cjrokokomero,1,00:07:48,182
2022-03-17,dophthalo,fazerlazer80,1,00:08:42,231
2022-03-18,saschasr,cosmalano,1,00:08:36,161
2022-03-18,carrickdan,cjrokokomero,1,00:07:44,420
2022-03-18,kablaminator,frostyseason,0,00:14:39,2000
2022-03-19,kyman,cjrokokomero,1,00:07:43,840
2022-03-19,caleb2112,cosmalano,0,00:08:11,2474
2022-03-19,amahumahaba,fazerlazer80,1,00:08:13,392
2022-03-19,aussieadam,zeussm64,1,00:08:05,112
2022-03-19,gregothegreatest,fazerlazer80,0,00:15:27,2000
2022-03-19,badroenis,fazerlazer80,1,00:49:20,500
2022-03-19,poke,toilet64_,1,00:07:24,2075
2022-03-20,dophthalo,fazerlazer80,1,00:08:39,77
